"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2025","EQ","486.00","486.85","482.15","483.65","484.70","483.95","484.93","528.50","399.35","1,82,29,128","8,83,99,30,024.40","1,64,587"
"31-Dec-2024","EQ","478.45","484.65","474.55","477.00","484.45","483.65","479.83","528.50","399.35","1,32,76,195","6,37,02,64,307.20","1,52,025"
"30-Dec-2024","EQ","480.75","481.45","476.00","478.60","476.80","477.00","478.45","528.50","399.35","1,30,74,810","6,25,56,56,373.25","1,58,954"
"27-Dec-2024","EQ","479.75","481.90","476.00","476.95","479.70","478.60","479.17","528.50","399.35","1,62,79,450","7,80,06,52,449.55","1,66,926"
"26-Dec-2024","EQ","480.55","481.85","476.00","478.45","477.00","476.95","478.43","528.50","399.35","88,48,065","4,23,31,60,326.90","1,48,089"
"24-Dec-2024","EQ","474.90","480.25","472.65","474.25","478.25","478.45","478.09","528.50","399.35","1,15,64,497","5,52,88,95,414.85","1,72,646"
"23-Dec-2024","EQ","471.20","477.70","467.60","464.65","474.50","474.25","473.08","528.50","399.35","1,88,37,469","8,91,16,59,177.30","2,40,219"
"20-Dec-2024","EQ","466.50","467.45","459.30","466.55","465.65","464.65","463.94","528.50","399.35","1,94,81,288","9,03,81,76,739.25","2,41,995"
"19-Dec-2024","EQ","469.00","474.35","465.30","470.50","466.00","466.55","468.63","528.50","399.35","1,45,99,270","6,84,16,13,826.05","2,08,360"
"18-Dec-2024","EQ","472.70","473.80","466.90","469.55","471.25","470.50","470.47","528.50","399.35","1,23,65,167","5,81,74,85,040.30","1,71,373"
"17-Dec-2024","EQ","470.00","475.80","463.05","470.10","470.70","469.55","470.32","528.50","399.35","1,98,44,152","9,33,30,64,294.30","2,35,005"
"16-Dec-2024","EQ","470.25","474.40","468.00","470.00","470.00","470.10","470.12","528.50","399.35","90,07,264","4,23,44,93,701.85","1,53,567"
"13-Dec-2024","EQ","460.00","474.40","451.65","460.60","471.00","470.00","464.46","528.50","399.35","3,17,53,858","14,74,84,33,018.55","2,49,426"
